CodeNaf1;LibelléNaf1
65.2;Autres intermédiations financières
66.0;Assurance
67.1;Auxiliaires financiers
67.2;Auxiliaires d'assurance
70.1;Activités immobilières pour compte propre
70.2;Location de biens immobiliers
70.3;Activités immobilières pour compte de tiers
71.1;Location de véhicules automobiles
71.2;Location d'autres matériels de transport
71.3;Location de machines et équipements
71.4;Location de biens personnels et domestiques
72.1;Conseil en systèmes informatiques
72.2;Réalisation de logiciels
72.3;Traitement de données
72.4;Activités de banques de données
72.5;Entretien et réparation de machines de bureau et de matériel informatique
72.6;Autres activités rattachées à l'informatique
73.1;Recherche-développement en sciences physiques et naturelles
73.2;Recherche-développement en sciences humaines et sociales
74.1;Activités juridiques, comptables et de conseil de gestion
74.2;Activités d'architecture et d'ingénierie
74.3;Activités de contrôle et analyses techniques
74.4;Publicité
74.5;Sélection et fourniture de personnel
74.6;Enquêtes et sécurité
74.7;Activités de nettoyage
74.8;Services divers fournis principalement aux entreprises
75.1;Administration générale, économique et sociale
75.2;Services de prérogative publique
75.3;Sécurité sociale obligatoire
80.1;Enseignement primaire
80.2;Enseignement secondaire
80.3;Enseignement supérieur
80.4;Formation permanente et autres activités d'enseignement
85.1;Activités pour la santé humaine
85.2;Activités vétérinaires
85.3;Action sociale
90.0;Assainissement, voirie et gestion des déchets
91.1;Organisations économiques
91.2;Syndicats de salariés
91.3;Autres organisations associatives
92.1;Activités cinématographiques et vidéo
92.2;Activités de radio et de télévision
92.3;Autres activités artistiques et de spectacle
92.4;Agences de presse
92.5;Autres activités culturelles
92.6;Activités liées au sport
92.7;Activités récréatives
93.0;Services personnels
95.0;Activités des ménages en tant qu'employeur de personnel domestique
96.0;Activités indifférenciées des ménages en tant que producteurs de biens pour usage propre
97.0;Activités indifférenciées des ménages en tant que producteurs de services pour usage propre
99.0;Activités extra-territoriales
